[2025-12-05 15:50:18] CPU: 26.8% | MEM: 92.6%
[2025-12-05 15:50:19] CPU: 20.1% | MEM: 92.7%
[2025-12-05 15:50:21] CPU: 21.0% | MEM: 92.8%
[2025-12-05 15:50:22] CPU: 41.5% | MEM: 93.9%
[2025-12-05 15:50:23] CPU: 49.8% | MEM: 92.7%
[2025-12-05 15:50:24] CPU: 56.7% | MEM: 90.9%
[2025-12-05 15:50:25] CPU: 22.8% | MEM: 90.4%
[2025-12-05 15:50:26] CPU: 32.6% | MEM: 93.0%
[2025-12-05 15:50:27] CPU: 49.6% | MEM: 96.9%
[2025-12-05 15:50:28] CPU: 62.1% | MEM: 74.7%
[2025-12-05 15:50:29] CPU: 97.9% | MEM: 74.8%
[2025-12-05 15:50:30] CPU: 98.5% | MEM: 74.8%
[2025-12-05 15:50:31] CPU: 99.1% | MEM: 74.5%
[2025-12-05 15:50:32] CPU: 50.5% | MEM: 74.4%
[2025-12-05 15:50:33] CPU: 45.6% | MEM: 74.6%
[2025-12-05 15:50:35] CPU: 33.5% | MEM: 74.9%
[2025-12-05 15:50:36] CPU: 33.5% | MEM: 75.0%
[2025-12-05 15:50:37] CPU: 26.4% | MEM: 75.6%
[2025-12-05 15:50:38] CPU: 20.9% | MEM: 76.0%
[2025-12-05 15:50:39] CPU: 31.2% | MEM: 76.4%
[2025-12-05 15:50:40] CPU: 63.8% | MEM: 76.5%
[2025-12-05 15:50:41] CPU: 45.9% | MEM: 76.8%
[2025-12-05 15:50:42] CPU: 44.0% | MEM: 77.6%
[2025-12-05 15:50:43] CPU: 25.7% | MEM: 78.1%
[2025-12-05 15:50:44] CPU: 23.9% | MEM: 78.5%
[2025-12-05 15:50:45] CPU: 21.5% | MEM: 79.1%
[2025-12-05 15:50:46] CPU: 21.9% | MEM: 79.6%
[2025-12-05 15:50:47] CPU: 29.1% | MEM: 79.9%
[2025-12-05 15:50:48] CPU: 28.9% | MEM: 80.4%
[2025-12-05 15:50:49] CPU: 25.4% | MEM: 80.8%
[2025-12-05 15:50:50] CPU: 28.9% | MEM: 81.3%
[2025-12-05 15:50:51] CPU: 24.9% | MEM: 81.7%
[2025-12-05 15:50:52] CPU: 25.6% | MEM: 82.2%
[2025-12-05 15:50:53] CPU: 24.6% | MEM: 82.6%
[2025-12-05 15:50:54] CPU: 26.9% | MEM: 83.1%
[2025-12-05 15:50:55] CPU: 20.2% | MEM: 83.6%
[2025-12-05 15:50:56] CPU: 18.9% | MEM: 84.0%
[2025-12-05 15:50:57] CPU: 24.5% | MEM: 84.5%
